pHsoil,Ecsoil,CECsoil,OC,Ptemp, C,N,H,O,pHbc,Ecbc,Ash,SSA,ITCC,BCC,SMC,BCAR,IT,CIE
6.77,,5.42,8565,400,66.21,4.21,3.71,,9.91,,17.35,2.41,6.54,0,70,6,30,38.76105888
7.5,0.31,24,13920,500,71,0.87,2.9,25.23,9.6,0.2,11.2,277,31,0,60,2,14,7.97
5,,11.63,29210,700,82.25,1.86,2.87,13.02,10.63,,36.81,,"1.18	","	0.25",70,4,30,-3.225806452
7.9,1.49,9.9,3900,600,24.99,0.38,1.22,10.31,10.88,0.47,62.74,35.97,8.62,0.35,,10,180,-64.55696203
7.6,,,,500,9.06,"	0.82",0.89,4.89,11.33,,84.34,37.55,57.1,0.127,70,5,60,51.51767251
8.9,,17.5,16000,300,70.3,0.9,5.93,24,9.2,,17.1,,3.2,0,50,3,30,54.69173442
4.5,,11.63,29210,700,82.25,1.86,2.87,13.02,10.63,,36.81,,"1.18	","	0.25",70,4,0,17.24137931
5.5,,11.63,29210,700,82.25,1.86,2.87,13.02,10.63,,36.81,,"1.18	","	0.25",70,4,30,-17.42424242
6,,11.63,29210,700,82.25,1.86,2.87,13.02,10.63,,36.81,,"1.18	","	0.25",70,2,365,18.59756098
5.7,0.02,5.3,5046,750,86,0.45,1.49,12.06,9.5,0.08,11.9,907.4,1.4,0,70,5,365,5.36
7.65,0.38,,,200,29.2,2.43,5.22,16.5,5.47,3.5,,0.51,1.36,0.42,,3,6,45.45473271
5.33,0.076,7.03,4390.6,400,40.13,1.95,2.07,10.86,9.85,2.8,45,2.35,7.21,0.68,70,1,60,17.65
6.14,0.5,11.6,16300,550,33.7,3.81,2.41,13.5,7,4.19,46.2,6.05,50,0,47.5,5,140,18.76
4.43,,11.3,29800,300,67.7,1.6,4.1,23.3,8.6,,5.8,6.5,2.2,0,70,5,1,42.92511742
5.33,0.076,7.03,4390.6,400,48.57,1.83,2.6,15,10.13,5.56,32,2.3,7.21,0.68,70,3,7,54.11
8.4,0.19,,14900,,73.1,,3.2,24.2,9.2,1.4,,6.1,39.9,0,65,5,50,9.469064163
5.93,0.698,21.36,19520,600,,,,,,,,79.4,3,0,60,4,7,52.8834417
4.5,,11.63,29210,700,82.25,1.86,2.87,13.02,10.63,,36.81,,"1.18	","	0.25",70,2,120,-28.72340426
6.77,,5.42,8565,400,74.55,1.39,3.54,,9.46,,11.91,5.31,6.54,0,70,6,30,26.89035679
6,,11.63,29210,700,82.25,1.86,2.87,13.02,10.63,,36.81,,"1.18	","	0.25",70,6,0,25.28089888
6.8,,,28890,,55.19,0.93,2.08,8.76,10.3,,,25.61,2.1,0,70,3,45,36.93467337
5.33,0.076,7.03,4390.6,400,54.98,1.5,2.24,13.28,10.41,8.89,28,2.01,7.21,0.48,70,3,150,27.33
6,,11.63,29210,700,82.25,1.86,2.87,13.02,10.63,,36.81,,"1.18	","	0.25",70,2,485,-2.893890675
4.34,0.09,3.64,2200,450,32.71,2.19,2.7,0.91,10.07,0.47,61.02,4.28,0.5,0.24,,10,180,14.28571429
4.43,,11.3,29800,300,73.3,0.3,2.6,22.9,9.1,,1.1,5.6,2.2,0,70,3,1095,11.08339968
